"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1797","8) Should add tablet to cart","","Sun Mar 30 18:44:27 MSK 2025","failed","Sun Mar 30 18:44:29 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldAddTabletToCart"
"","11","3) Select categories Negative","","Sun Mar 30 18:44:19 MSK 2025","broken","Sun Mar 30 18:44:19 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldSelectCategoriesNegative"
"","0","OpencartTest","","Sun Mar 30 18:44:20 MSK 2025","broken","Sun Mar 30 18:44:20 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest",""
"","8","2) Change currency Positive","","Sun Mar 30 18:44:19 MSK 2025","broken","Sun Mar 30 18:44:20 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldChangeCurrency"
"","1370","2) Should change currency","","Sun Mar 30 18:44:41 MSK 2025","passed","Sun Mar 30 18:44:43 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldChangeCurrency"
"","1359","3) Should select categories","","Sun Mar 30 18:44:26 MSK 2025","passed","Sun Mar 30 18:44:27 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldSelectCategories"
"","4785","4) Should register account","","Sun Mar 30 18:44:21 MSK 2025","passed","Sun Mar 30 18:44:26 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldRegisterAccount"
"","1574","9) Should add phone HTC to cart","","Sun Mar 30 18:44:40 MSK 2025","failed","Sun Mar 30 18:44:41 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldAddPhoneToCart"
"","1793","6) Should add to with list","","Sun Mar 30 18:44:38 MSK 2025","failed","Sun Mar 30 18:44:40 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldAddToWishList"
"","1863","10) Should write review","","Sun Mar 30 18:44:29 MSK 2025","passed","Sun Mar 30 18:44:31 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldWriteReview"
"","2834","5) Search Positive","","Sun Mar 30 18:43:13 MSK 2025","passed","Sun Mar 30 18:43:16 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldSearch"
"","63770","5) Search Negative","","Sun Mar 30 18:43:16 MSK 2025","broken","Sun Mar 30 18:44:19 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldSearchNegative"
"","1613","1) Should click on product Positive","","Sun Mar 30 18:43:09 MSK 2025","passed","Sun Mar 30 18:43:11 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldClickOnProduct"
"","2466","3) Select categories Positive","","Sun Mar 30 18:43:07 MSK 2025","passed","Sun Mar 30 18:43:09 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldSelectCategories"
"","9","4) Register account Negative","","Sun Mar 30 18:44:19 MSK 2025","broken","Sun Mar 30 18:44:19 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testClickOnMenuNegative"
"","702","2) Change currency Negative","","Sun Mar 30 18:43:12 MSK 2025","passed","Sun Mar 30 18:43:13 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldChangeCurrencyNegative"
"","2527","1) Should click on product","","Sun Mar 30 18:44:31 MSK 2025","passed","Sun Mar 30 18:44:34 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldClickOnProduct"
"","2759","7) Should add camera to cart","","Sun Mar 30 18:44:35 MSK 2025","failed","Sun Mar 30 18:44:38 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldAddCameraToCart"
"","1350","1) Should click on product Negative","","Sun Mar 30 18:43:11 MSK 2025","passed","Sun Mar 30 18:43:12 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testShouldClickOnProductNegative"
"","25","4) Register account Positive","","Sun Mar 30 18:44:19 MSK 2025","broken","Sun Mar 30 18:44:19 MSK 2025","","kt2.OpencartTest","kt2.OpencartTest","testClickOnMenu"
"","1391","5) Should search","","Sun Mar 30 18:44:34 MSK 2025","passed","Sun Mar 30 18:44:35 MSK 2025","","kt3.PageObjectPatternTest","kt3.PageObjectPatternTest","testShouldSearch"
